Title: Ion-by-Ion Cooling Efficiencies
Authors: Gnat O., Ferland G.J.
Table: Ion-by-Ion Cooling Efficiencies for Boron
================================================================================
Byte-by-byte Description of file: datafile1E.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label        Explanations
--------------------------------------------------------------------------------
   1-  8 E8.2   K       Temperature  Temperature (column 1)
  10- 17 E8.2   ---     B{0}         Ionic Cooling efficiency (column 2)
  19- 26 E8.2   ---     B{+}         Ionic Cooling efficiency (column 3)
  28- 35 E8.2   ---     B{2+}        Ionic Cooling efficiency (column 4)
  37- 44 E8.2   ---     B{3+}        Ionic Cooling efficiency (column 5)
  46- 53 E8.2   ---     B{4+}        Ionic Cooling efficiency (column 6)
  55- 62 E8.2   ---     B{5+}        Ionic Cooling efficiency (column 7)
  64- 71 E8.2   ---     B{CIE}       CIE Cooling efficiency (column 8)
--------------------------------------------------------------------------------
1.00e+04 2.47e-22 4.03e-22 8.86e-21 1.45e-24 1.66e-23 2.77e-23 3.29e-22
1.05e+04 3.44e-22 6.47e-22 1.19e-20 1.49e-24 1.69e-23 2.81e-23 5.37e-22
1.10e+04 4.72e-22 1.01e-21 1.58e-20 1.52e-24 1.71e-23 2.86e-23 8.66e-22
1.16e+04 6.47e-22 1.57e-21 2.08e-20 1.57e-24 1.74e-23 2.91e-23 1.39e-21
1.22e+04 8.76e-22 2.37e-21 2.69e-20 1.61e-24 1.77e-23 2.96e-23 2.15e-21
1.28e+04 1.18e-21 3.50e-21 3.44e-20 1.65e-24 1.80e-23 3.01e-23 3.25e-21
1.34e+04 1.56e-21 5.09e-21 4.34e-20 1.69e-24 1.83e-23 3.06e-23 4.80e-21
1.41e+04 2.07e-21 7.29e-21 5.42e-20 1.74e-24 1.85e-23 3.11e-23 6.95e-21
1.48e+04 2.72e-21 1.03e-20 6.71e-20 1.78e-24 1.88e-23 3.17e-23 9.90e-21
1.55e+04 3.54e-21 1.42e-20 8.20e-20 1.83e-24 1.91e-23 3.22e-23 1.38e-20
1.63e+04 4.58e-21 1.94e-20 9.92e-20 1.88e-24 1.94e-23 3.28e-23 1.89e-20
1.71e+04 5.88e-21 2.61e-20 1.19e-19 1.93e-24 1.97e-23 3.33e-23 2.55e-20
1.80e+04 7.50e-21 3.45e-20 1.41e-19 1.98e-24 2.00e-23 3.39e-23 3.39e-20
1.89e+04 9.49e-21 4.51e-20 1.67e-19 2.04e-24 2.04e-23 3.45e-23 4.44e-20
1.99e+04 1.19e-20 5.82e-20 1.95e-19 2.09e-24 2.07e-23 3.51e-23 5.74e-20
2.09e+04 1.49e-20 7.43e-20 2.25e-19 2.15e-24 2.10e-23 3.57e-23 7.33e-20
2.20e+04 1.85e-20 9.35e-20 2.59e-19 2.21e-24 2.14e-23 3.63e-23 9.25e-20
2.31e+04 2.27e-20 1.16e-19 2.95e-19 2.27e-24 2.17e-23 3.69e-23 1.15e-19
2.43e+04 2.77e-20 1.43e-19 3.34e-19 2.34e-24 2.20e-23 3.76e-23 1.42e-19
