Title: Ion-by-Ion Cooling Efficiencies
Authors: Gnat O., Ferland G.J.
Table: Ion-by-Ion Cooling Efficiencies for Lithium
================================================================================
Byte-by-byte Description of file: datafile1C.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label         Explanations
--------------------------------------------------------------------------------
   1-  8 E8.2   K       Temperature   Temperature (column 1)
  10- 17 E8.2   ---     Li{0}         Ionic Cooling efficiency (column 2)
  19- 26 E8.2   ---     Li{+}         Ionic Cooling efficiency (column 3)
  28- 35 E8.2   ---     Li{2+}        Ionic Cooling efficiency (column 4)
  37- 44 E8.2   ---     Li{3+}        Ionic Cooling efficiency (column 5)
  46- 53 E8.2   ---     Li{CIE}       CIE Cooling efficiency (column 6)
--------------------------------------------------------------------------------
2.98e+05 3.25e-18 7.25e-20 1.47e-20 2.45e-23 1.16e-21
3.13e+05 3.25e-18 8.11e-20 1.75e-20 2.48e-23 1.05e-21
3.30e+05 3.24e-18 9.02e-20 2.06e-20 2.52e-23 9.39e-22
3.47e+05 3.24e-18 9.98e-20 2.41e-20 2.56e-23 8.45e-22
3.66e+05 3.22e-18 1.10e-19 2.80e-20 2.60e-23 7.60e-22
3.85e+05 3.21e-18 1.20e-19 3.23e-20 2.64e-23 6.86e-22
4.05e+05 3.19e-18 1.32e-19 3.70e-20 2.68e-23 6.21e-22
4.26e+05 3.17e-18 1.43e-19 4.21e-20 2.72e-23 5.63e-22
4.49e+05 3.15e-18 1.55e-19 4.77e-20 2.76e-23 5.12e-22
4.72e+05 3.12e-18 1.67e-19 5.37e-20 2.80e-23 4.67e-22
4.97e+05 3.09e-18 1.79e-19 6.02e-20 2.84e-23 4.27e-22
5.23e+05 3.06e-18 1.92e-19 6.70e-20 2.88e-23 3.92e-22
5.51e+05 3.02e-18 2.05e-19 7.43e-20 2.93e-23 3.61e-22
5.80e+05 2.98e-18 2.19e-19 8.20e-20 2.97e-23 3.33e-22
6.10e+05 2.94e-18 2.32e-19 9.01e-20 3.01e-23 3.08e-22
6.43e+05 2.90e-18 2.46e-19 9.86e-20 3.06e-23 2.85e-22
6.76e+05 2.86e-18 2.60e-19 1.07e-19 3.10e-23 2.65e-22
7.12e+05 2.81e-18 2.74e-19 1.17e-19 3.15e-23 2.47e-22
7.49e+05 2.76e-18 2.88e-19 1.26e-19 3.20e-23 2.31e-22
7.89e+05 2.71e-18 3.02e-19 1.36e-19 3.24e-23 2.17e-22
8.30e+05 2.65e-18 3.17e-19 1.46e-19 3.29e-23 2.03e-22
8.74e+05 2.60e-18 3.31e-19 1.57e-19 3.33e-23 1.92e-22
9.20e+05 2.54e-18 3.45e-19 1.67e-19 3.38e-23 1.81e-22
9.69e+05 2.48e-18 3.60e-19 1.78e-19 3.43e-23 1.71e-22
1.02e+06 2.42e-18 3.74e-19 1.89e-19 3.47e-23 1.62e-22
1.07e+06 2.36e-18 3.88e-19 2.00e-19 3.53e-23 1.54e-22
1.13e+06 2.30e-18 4.02e-19 2.10e-19 3.58e-23 1.45e-22
1.19e+06 2.24e-18 4.16e-19 2.19e-19 3.63e-23 1.38e-22
1.25e+06 2.18e-18 4.30e-19 2.28e-19 3.68e-23 1.31e-22
1.32e+06 2.12e-18 4.44e-19 2.37e-19 3.73e-23 1.24e-22
1.39e+06 2.05e-18 4.58e-19 2.46e-19 3.78e-23 1.19e-22
1.46e+06 1.99e-18 4.71e-19 2.55e-19 3.84e-23 1.14e-22
1.54e+06 1.93e-18 4.84e-19 2.64e-19 3.89e-23 1.09e-22
1.62e+06 1.87e-18 4.98e-19 2.72e-19 3.94e-23 1.05e-22
1.70e+06 1.81e-18 5.10e-19 2.80e-19 3.99e-23 1.01e-22
1.79e+06 1.75e-18 5.23e-19 2.88e-19 4.05e-23 9.71e-23
1.89e+06 1.69e-18 5.35e-19 2.96e-19 4.11e-23 9.39e-23
1.99e+06 1.63e-18 5.47e-19 3.04e-19 4.17e-23 9.10e-23
2.09e+06 1.57e-18 5.59e-19 3.11e-19 4.23e-23 8.84e-23
2.20e+06 1.51e-18 5.70e-19 3.18e-19 4.29e-23 8.60e-23
2.32e+06 1.46e-18 5.81e-19 3.25e-19 4.35e-23 8.38e-23
2.44e+06 1.41e-18 5.92e-19 3.31e-19 4.41e-23 8.18e-23
2.57e+06 1.35e-18 6.03e-19 3.37e-19 4.47e-23 8.00e-23
2.70e+06 1.30e-18 6.13e-19 3.43e-19 4.53e-23 7.84e-23
2.84e+06 1.25e-18 6.22e-19 3.49e-19 4.59e-23 7.70e-23
2.99e+06 1.20e-18 6.32e-19 3.54e-19 4.65e-23 7.57e-23
3.15e+06 1.16e-18 6.40e-19 3.59e-19 4.72e-23 7.45e-23
3.32e+06 1.11e-18 6.49e-19 3.63e-19 4.79e-23 7.35e-23
3.49e+06 1.07e-18 6.57e-19 3.68e-19 4.86e-23 7.26e-23
3.68e+06 1.03e-18 6.65e-19 3.71e-19 4.93e-23 7.19e-23
3.87e+06 9.87e-19 6.72e-19 3.75e-19 5.00e-23 7.12e-23
4.07e+06 9.49e-19 6.78e-19 3.78e-19 5.08e-23 7.07e-23
4.29e+06 9.11e-19 6.85e-19 3.81e-19 5.15e-23 7.02e-23
4.51e+06 8.76e-19 6.91e-19 3.84e-19 5.22e-23 6.98e-23
4.75e+06 8.41e-19 6.96e-19 3.86e-19 5.30e-23 6.95e-23
5.00e+06 8.08e-19 7.01e-19 3.88e-19 5.38e-23 6.93e-23
5.01e+06 8.07e-19 7.01e-19 3.88e-19 5.38e-23 6.93e-23
