Title: Ion-by-Ion Cooling Efficiencies
Authors: Gnat O., Ferland G.J.
Table: Ion-by-Ion Cooling Efficiencies for Nitrogen
================================================================================
Byte-by-byte Description of file: datafile1G.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label        Explanations
--------------------------------------------------------------------------------
   1-  8 E8.2   K       Temperature  Temperature (column 1)
  10- 17 E8.2   ---     N{0}         Ionic Cooling efficiency (column 2)
  19- 26 E8.2   ---     N{+}         Ionic Cooling efficiency (column 3)
  28- 35 E8.2   ---     N{2+}        Ionic Cooling efficiency (column 4)
  37- 44 E8.2   ---     N{3+}        Ionic Cooling efficiency (column 5)
  46- 53 E8.2   ---     N{4+}        Ionic Cooling efficiency (column 6)
  55- 62 E8.2   ---     N{5+}        Ionic Cooling efficiency (column 7)
  64- 71 E8.2   ---     N{6+}        Ionic Cooling efficiency (column 8)
  73- 80 E8.2   ---     N{7+}        Ionic Cooling efficiency (column 9)
  82- 89 E8.2   ---     N{CIE}       CIE Cooling efficiency (column 10)
--------------------------------------------------------------------------------
4.96e+04 1.20e-19 1.39e-19 1.05e-19 1.30e-19 2.09e-19 9.14e-24 6.74e-23 1.04e-22 1.26e-19
5.22e+04 1.31e-19 1.56e-19 1.19e-19 1.47e-19 2.30e-19 9.39e-24 6.85e-23 1.06e-22 1.40e-19
5.49e+04 1.43e-19 1.74e-19 1.35e-19 1.66e-19 2.51e-19 9.64e-24 6.96e-23 1.08e-22 1.54e-19
5.78e+04 1.56e-19 1.95e-19 1.52e-19 1.87e-19 2.72e-19 9.92e-24 7.07e-23 1.10e-22 1.70e-19
6.08e+04 1.70e-19 2.17e-19 1.70e-19 2.08e-19 2.93e-19 1.02e-23 7.18e-23 1.12e-22 1.87e-19
6.40e+04 1.84e-19 2.42e-19 1.90e-19 2.32e-19 3.15e-19 1.05e-23 7.30e-23 1.14e-22 2.06e-19
6.74e+04 1.99e-19 2.68e-19 2.10e-19 2.56e-19 3.37e-19 1.08e-23 7.41e-23 1.16e-22 2.26e-19
7.09e+04 2.15e-19 2.96e-19 2.32e-19 2.82e-19 3.59e-19 1.11e-23 7.53e-23 1.18e-22 2.47e-19
7.46e+04 2.31e-19 3.26e-19 2.55e-19 3.09e-19 3.80e-19 1.14e-23 7.65e-23 1.20e-22 2.70e-19
7.86e+04 2.49e-19 3.59e-19 2.79e-19 3.36e-19 4.01e-19 1.17e-23 7.77e-23 1.22e-22 2.95e-19
